Person,Organization,City,Country,Start,End,Reason,Meeting,Topic
Mike Pence,US Government,Cairo,Egypt,1/20/2018,1/20/2018,Bilateral Meetings,Abdel Fattah el-Sisi,
Mike Pence,US Government,Amman,Jordan,1/21/2018,1/21/2018,Bilateral Meetings,Ali bin Al Hussein,
Mike Pence,US Government,Jerusalem,Israel,1/22/2018,1/22/2018,Bilateral Meetings,,
Jim Kim,US Government,Davos,Switzerland,1/23/2018,1/26/2018,World Economic Forum,Steven Mnuchin,
Donald Trump,US Government,Davos,Switzerland,1/23/2018,1/26/2018,World Economic Forum,,
Mike Pence,US Government,Seoul,Republic of Korea,2/9/2018,2/9/2018,Olympics and Bilateral Meetings,,
Jim Kim,World Bank,Munich,Germany,2/16/2018,2/16/2018,Munich Security Conference,,
Jim Kim,World Bank,Dubai,UAE,2/15/2018,2/15/2018,Bilateral Meetings,,
Jim Kim,World Bank,Amman,Jordan,2/16/2018,2/16/2018,Bilateral Meetings,,
Jim Kim,World Bank,,Morocco,2/17/2018,2/17/2018,Bilateral Meetings,,
Jim Kim,World Bank,"Washington, DC",United States,2/23/2018,2/23/2018,Council on Foreign Relations ,,
Kristalina Georgieva,World Bank,"Washington, DC",United States,3/8/2018,3/8/2018,Meeting with Madeline Albright,Madeline Albright,
Kristalina Georgieva,World Bank,Tashkent,Uzbekistan,1/18/2018,1/18/2018,Bilateral Meetings with Finance Minister,Djamshid Kuchkarov,
Kristalina Georgieva,World Bank,Tashkent,Uzbekistan,1/18/2018,1/18/2018,Bilateral Meetings with Deputy PM,Sukhrob Kholmurodov,
Kristalina Georgieva,World Bank,Tashkent,Uzbekistan,1/18/2018,1/18/2018,Bilateral Meetings with PM,Shavkat Mirziyoyev,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/23/2018,1/23/2018,Bilateral Meetings with Canadian Finance Minister,Bill Morneau,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/23/2018,1/23/2018,Lunch,George Soros,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/24/2018,1/24/2018,Meeting with Bill & Melinda Gates Representative,Mark Suzman,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/24/2018,1/24/2018,Bilateral Meeting with Queen of Belgium,Queen Mathilde of Belgium,
Kristalina Georgieva,World Bank,Davos,Switzerland,1/25/2018,1/25/2018,Bilateral Meeting with Somali PM,Hasssan Ali Khaire,
Jim Kim,World Bank,Davos,Switzerland,1/23/2018,1/23/2018,Bilateral Meeting with Uber CEO,Dara Khosrowshahi,
Jim Kim,World Bank,Davos,Switzerland,1/25/2018,1/25/2018,Bilateral Meeting with Chairman of Munich Re,Joachim Wenning,
Jim Kim,World Bank,Davos,Switzerland,1/25/2018,1/25/2018,Bilateral Meeting with Royal Philips CEO,Frans van Houten,
Donald Trump,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,Bilateral Meeting with Kazakh President,Nursultan Nazarbayev,
Tom Shannon,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,Bilateral Meeting with International Rescue Committee Chair,David Miliband,
Tom Shannon,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,Bilateral Meeting with Uzbek Foreign Minister,Abdulaziz Kamilov,
Rex Tillerson,US Government,London,UK,1/21/2018,1/22/2018,Bilateral Meeting with UK Foreign Secretary Boris Johnson,,
Rex Tillerson,US Government,Paris,France,1/22/2018,1/23/2018,Bilateral Meetings with French Government,,
Rex Tillerson,US Government,Davos,Switzerland,1/24/2018,1/26/2018,World Economic Forum,,
Rex Tillerson,US Government,Warsaw,Poland,1/26/2018,1/27/2018,,,
Tom Shannon,US Government,Monrovia,Liberia,1/23/2018,1/26/2018,Bilateral Meetings with Liberian Government,,
John Sullivan,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,Bilateral Meeting with Korean Vice Foreign Minister,Lim Sing-Nam,
Mark Green,US Government,"Washington, DC",United States,1/17/2018,1/17/2018,Bilateral Meeting with OECD DAC Chair,Petri Gormiztka,
Rex Tillerson,US Government,"Washington, DC",United States,1/12/2018,1/12/2018,Bilateral Meeting with Saudi Foreign Minister,Adel al-Jubeir,
